#SKILL
Name         reserved~
Type         Spell
Flags        0
Minpos       8
Guild        10
Dammsg       ~
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         acute awareness~
Type         Skill
Flags        0
Target       3
Minpos       8
Rounds       20
Guild        3
Code         spell_smaug
Dammsg       ~
Wearoff      Your awareness becomes less acute.~
Hitchar      You focus your senses to find those that would hide from you.~
Misschar     You fail to make your awareness more acute.~
Teachers     32050~
Affect       'l*5' 26 'detect hidden' 32
Minlevel     25
End

#SKILL
Name         aid~
Type         Skill
Flags        0
Minpos       8
Rounds       12
Guild        5
Code         do_aid
Dammsg       ~
Wearoff      !Aid!~
Teachers     407~
Minlevel     1
End

#SKILL
Name         appeal~
Type         Skill
Flags        0
Minpos       8
Guild        5
Code         do_appeal
Dammsg       ~
Minlevel     85
End

#SKILL
Name         attend~
Type         Skill
Flags        0
Minpos       8
Guild        9
Code         do_attend
Dammsg       ~
Minlevel     1
End

#SKILL
Name         backstab~
Type         Skill
Flags        0
Minpos       8
Rounds       12
Guild        3
Code         do_backstab
Dammsg       backstab~
Wearoff      !Backstab!~
Teachers     407~
Minlevel     95
End

#SKILL
Name         bandage~
Type         Skill
Flags        0
Minpos       8
Guild        9
Code         do_bandage
Dammsg       ~
Minlevel     8
End

#SKILL
Name         bash~
Type         Skill
Flags        0
Target       1
Minpos       7
Rounds       8
Guild        0
Code         do_bash
Dammsg       bash~
Wearoff      !Bash!~
Teachers     407~
Minlevel     47
End

#SKILL
Name         beg~
Type         Skill
Flags        0
Minpos       8
Rounds       20
Guild        4
Code         do_beg
Dammsg       ~
Wearoff      !Beg!~
Teachers     407~
Minlevel     1
End

#SKILL
Name         calm~
Type         Skill
Flags        0
Minpos       8
Guild        5
Code         do_calm
Dammsg       ~
Minlevel     42
End

#SKILL
Name         capital ships~
Type         Skill
Flags        0
Minpos       5
Guild        1
Code         spell_null
Dammsg       ~
Wearoff      !done!~
Teachers     407~
Minlevel     90
End

#SKILL
Name         charm~
Type         Skill
Flags        0
Guild        5
Code         do_makespice
Dammsg       ~
Minlevel     135
End

#SKILL
Name         chemistry~
Type         Skill
Flags        0
Guild        8
Code         do_makespice
Dammsg       ~
Minlevel     110
End

#SKILL
Name         circle~
Type         Skill
Flags        0
